Name,Address,Category,URL,Rating
"初選出
                        
                      
                      
                        
                          うさぎの森 軽井沢店","長野県 北佐久郡軽井沢町
                        
                        
                          月曜日",日式洋食 (東日本),https://tabelog.com/nagano/A2003/A200301/20021652/,
"初選出
                        
                      
                      
                        
                          グリンデル","長野県 北安曇郡白馬村
                        
                        
                          水曜日",日式洋食 (東日本),https://tabelog.com/nagano/A2005/A200503/20000649/,
レストラン マサヒロ・ニシムラ,長野県 安曇野市,法式料理 (東京),https://tabelog.com/nagano/A2005/A200501/20001167/,
"初選出
                        
                      
                      
                        
                          Fika",長野県 上田市,法式料理 (東京),https://tabelog.com/nagano/A2004/A200401/20016917/,
ピレネー,長野県 北佐久郡軽井沢町,法式料理 (東京),https://tabelog.com/nagano/A2003/A200301/20001312/,
エルミタージュ ドゥ タムラ,"長野県 北佐久郡軽井沢町
                        
                        
                          月曜日、火曜日",法式料理 (東京),https://tabelog.com/nagano/A2003/A200301/20000186/,
ヒカリヤ ニシ,"長野県 松本市
                        
                        
                          水曜日",法式料理 (東京),https://tabelog.com/nagano/A2002/A200201/20002166/,
ブレストンコート ユカワタン,長野県 軽井沢町,法式料理 (東京),https://tabelog.com/nagano/A2003/A200301/20014528/,
HELIOTROPE,長野県 北佐久郡軽井沢町,創新料理,https://tabelog.com/nagano/A2003/A200301/20025765/,
ラ・カーサ・ディ・テツオ オオタ,長野県 北佐久郡軽井沢町,創新料理,https://tabelog.com/nagano/A2003/A200301/20023219/,
フォリオリーナ・デッラ・ポルタ・フォルトゥーナ,長野県 北佐久郡軽井沢町,義大利料理 (東京),https://tabelog.com/nagano/A2003/A200301/20011920/,
ア フェネステッラ,"長野県 北佐久郡軽井沢町
                        
                        
                          火曜日",義大利料理 (東京),https://tabelog.com/nagano/A2003/A200301/20018926/,
モデスト,"長野県 北佐久郡軽井沢町
                        
                        
                          水曜日",義大利料理 (東京),https://tabelog.com/nagano/A2003/A200301/20003459/,
カエンネ,長野県 茅野市,義大利料理 (東京),https://tabelog.com/nagano/A2004/A200403/20023769/,
"初選出
                        
                      
                      
                        
                          ピッツェリア ジンガラ","長野県 佐久市
                        
                        
                          木曜日",披薩,https://tabelog.com/nagano/A2003/A200302/20001615/,
"初選出
                        
                      
                      
                        
                          ヒカリヤ ヒガシ","長野県 松本市
                        
                        
                          水曜日",日本料理 (東京),https://tabelog.com/nagano/A2002/A200201/20001756/,
無名,"長野県 茅野市
                        
                        
                          月曜日、火曜日、水曜日",日本料理 (東京),https://tabelog.com/nagano/A2004/A200403/20002726/,
昇月,長野県 安曇野市,日本料理 (東京),https://tabelog.com/nagano/A2005/A200501/20001225/,
柚木元,"長野県 飯田市
                        
                        
                          月曜日",日本料理 (東京),https://tabelog.com/nagano/A2006/A200603/20004238/,
"初選出
                        
                      
                      
                        
                          日本料理 嘉助",長野県 北佐久郡軽井沢町,日本料理 (東京),https://tabelog.com/nagano/A2003/A200301/20001639/,
草如庵,"長野県 東御市
                        
                        
                          火曜日",日本料理 (東京),https://tabelog.com/nagano/A2004/A200402/20016864/,
きく蔵,"長野県 松本市
                        
                        
                          日曜日",日本料理 (東京),https://tabelog.com/nagano/A2002/A200201/20000774/,
鮨 いぬかい,"長野県 松本市
                        
                        
                          月曜日",壽司 (東京),https://tabelog.com/nagano/A2002/A200201/20018952/,
菊寿し,"長野県 上水内郡飯綱町
                        
                        
                          月曜日",壽司 (東京),https://tabelog.com/nagano/A2001/A200106/20000198/,
すし崇,長野県 長野市,壽司 (東京),https://tabelog.com/nagano/A2001/A200101/20004056/,
中野屋,"長野県 諏訪郡原村
                        
                        
                          月曜日、火曜日",壽司 (東京),https://tabelog.com/nagano/A2004/A200403/20004460/,
すき亭 本店,"長野県 長野市
                        
                        
                          月曜日",壽喜燒・涮涮鍋,https://tabelog.com/nagano/A2001/A200101/20000232/,
Jose Luis Karuizawa,長野県 北佐久郡軽井沢町,西班牙料理,https://tabelog.com/nagano/A2003/A200301/20023846/,
松本メーヤウ 信大前店,長野県 松本市,咖哩 (東京),https://tabelog.com/nagano/A2002/A200201/20000053/,
松本メーヤウ 信大前店,長野県 松本市,咖哩 (東日本),https://tabelog.com/nagano/A2002/A200201/20000053/,
グート,"長野県 上伊那郡箕輪町
                        
                        
                          木曜日",亞洲・異國料理 (東京),https://tabelog.com/nagano/A2006/A200601/20022280/,
ナマステ 蓼科店,長野県 茅野市,亞洲・異國料理 (東京),https://tabelog.com/nagano/A2004/A200403/20000030/,
グート,"長野県 上伊那郡箕輪町
                        
                        
                          木曜日",亞洲・異國料理 (東日本),https://tabelog.com/nagano/A2006/A200601/20022280/,
ナマステ 蓼科店,長野県 茅野市,亞洲・異國料理 (東日本),https://tabelog.com/nagano/A2004/A200403/20000030/,
鰻 小林,長野県 諏訪市,鰻魚,https://tabelog.com/nagano/A2004/A200404/20001043/,
"初選出
                        
                      
                      
                        
                          山勢","長野県 松本市
                        
                        
                          月曜日、火曜日",鰻魚,https://tabelog.com/nagano/A2002/A200201/20026525/,
うなぎのまつ嘉,長野県 松本市,鰻魚,https://tabelog.com/nagano/A2002/A200201/20000103/,
うなぎ専門店 本多,"長野県 飯山市
                        
                        
                          木曜日",鰻魚,https://tabelog.com/nagano/A2001/A200105/20001229/,
茶虎飯店,長野県 諏訪郡富士見町,中華料理 (東京),https://tabelog.com/nagano/A2004/A200405/20023093/,
榮林 軽井沢店,"長野県 北佐久郡軽井沢町
                        
                        
                          火曜日、水曜日",中華料理 (東京),https://tabelog.com/nagano/A2003/A200301/20000154/,
榮林 軽井沢店,"長野県 北佐久郡軽井沢町
                        
                        
                          火曜日、水曜日",中華料理 (東日本),https://tabelog.com/nagano/A2003/A200301/20000154/,
茶虎飯店,長野県 諏訪郡富士見町,中華料理 (東日本),https://tabelog.com/nagano/A2004/A200405/20023093/,
とんかつ 力亭,"長野県 上田市
                        
                        
                          月曜日売り切れ等により不定休",炸豬排,https://tabelog.com/nagano/A2004/A200401/20005756/,
桜井甘精堂  本店,"長野県 上高井郡小布施町
                        
                        
                          無休",和菓子 (東京),https://tabelog.com/nagano/A2001/A200106/20009794/,
新鶴本店,"長野県 諏訪郡下諏訪町
                        
                        
                          水曜",和菓子 (東京),https://tabelog.com/nagano/A2004/A200404/20008514/,
ちもと総本店 軽井沢本店,"長野県 北佐久郡軽井沢町
                        
                        
                          夏は無休、冬は不定休。",和菓子 (東京),https://tabelog.com/nagano/A2003/A200301/20000172/,
桜井甘精堂  本店,"長野県 上高井郡小布施町
                        
                        
                          無休",和菓子 (東日本),https://tabelog.com/nagano/A2001/A200106/20009794/,
新鶴本店,"長野県 諏訪郡下諏訪町
                        
                        
                          水曜",和菓子 (東日本),https://tabelog.com/nagano/A2004/A200404/20008514/,
ちもと総本店 軽井沢本店,"長野県 北佐久郡軽井沢町
                        
                        
                          夏は無休、冬は不定休。",和菓子 (東日本),https://tabelog.com/nagano/A2003/A200301/20000172/,
栗の木テラス 小布施店,"長野県 上高井郡小布施町
                        
                        
                          水曜日、年末年始12月30日、31日、1月1日",甜點 (東京),https://tabelog.com/nagano/A2001/A200106/20000669/,
Patisserie　Rond-to,"長野県 上高井郡小布施町
                        
                        
                          月曜日・火曜日（祝日の場合は営業）",甜點 (東京),https://tabelog.com/nagano/A2001/A200106/20006070/,
"初選出
                        
                      
                      
                        
                          マサムラ","長野県 松本市
                        
                        
                          月2回火曜不定休",甜點 (東京),https://tabelog.com/nagano/A2002/A200201/20000074/,
みすゞ飴本舗 飯島商店 上田本店,"長野県 上田市
                        
                        
                          12/31（午後）, 1/1",甜點 (東京),https://tabelog.com/nagano/A2004/A200401/20000112/,
平五郎 本店,"長野県 長野市
                        
                        
                          火曜日（祝日は営業）",甜點 (東京),https://tabelog.com/nagano/A2001/A200101/20015759/,
Patisserie　Rond-to,"長野県 上高井郡小布施町
                        
                        
                          月曜日・火曜日（祝日の場合は営業）",甜點 (東日本),https://tabelog.com/nagano/A2001/A200106/20006070/,
栗の木テラス 小布施店,"長野県 上高井郡小布施町
                        
                        
                          水曜日、年末年始12月30日、31日、1月1日",甜點 (東日本),https://tabelog.com/nagano/A2001/A200106/20000669/,
平五郎 本店,"長野県 長野市
                        
                        
                          火曜日（祝日は営業）",甜點 (東日本),https://tabelog.com/nagano/A2001/A200101/20015759/,
"初選出
                        
                      
                      
                        
                          マサムラ","長野県 松本市
                        
                        
                          月2回火曜不定休",甜點 (東日本),https://tabelog.com/nagano/A2002/A200201/20000074/,
みすゞ飴本舗 飯島商店 上田本店,"長野県 上田市
                        
                        
                          12/31（午後）, 1/1",甜點 (東日本),https://tabelog.com/nagano/A2004/A200401/20000112/,
ヤツレン ソフトクリーム売店,"長野県 南佐久郡南牧村
                        
                        
                          無休",冰淇淋,https://tabelog.com/nagano/A2003/A200303/20001424/,
開田高原アイスクリーム工房,"長野県 木曽郡木曽町
                        
                        
                          12～3月末 火曜日定休",冰淇淋,https://tabelog.com/nagano/A2007/A200701/20000608/,
リビスコ,"長野県 北佐久郡軽井沢町
                        
                        
                          なし",冰淇淋,https://tabelog.com/nagano/A2003/A200301/20021891/,
北アルプス牧場,"長野県 安曇野市
                        
                        
                          なし",冰淇淋,https://tabelog.com/nagano/A2005/A200501/20000271/,
ハーベスト ナガイファーム 軽井沢店,"長野県 北佐久郡軽井沢町
                        
                        
                          なし",冰淇淋,https://tabelog.com/nagano/A2003/A200301/20009286/,
haluta bageri,"長野県 北佐久郡軽井沢町
                        
                        
                          火曜・水曜・木曜",麵包 (東京),https://tabelog.com/nagano/A2003/A200301/20011411/,
フランスベ－カリー,"長野県 北佐久郡軽井沢町
                        
                        
                          木曜日（夏季無休）",麵包 (東京),https://tabelog.com/nagano/A2003/A200301/20000200/,
ルヴァン 信州上田店,"長野県 上田市
                        
                        
                          水曜・第１木曜（春・夏・冬休暇あり）",麵包 (東京),https://tabelog.com/nagano/A2004/A200401/20000537/,
フランスベ－カリー,"長野県 北佐久郡軽井沢町
                        
                        
                          木曜日（夏季無休）",麵包 (東日本),https://tabelog.com/nagano/A2003/A200301/20000200/,
haluta bageri,"長野県 北佐久郡軽井沢町
                        
                        
                          火曜・水曜・木曜",麵包 (東日本),https://tabelog.com/nagano/A2003/A200301/20011411/,
ルヴァン 信州上田店,"長野県 上田市
                        
                        
                          水曜・第１木曜（春・夏・冬休暇あり）",麵包 (東日本),https://tabelog.com/nagano/A2004/A200401/20000537/,
珈琲 まるも,"長野県 松本市
                        
                        
                          月曜日、火曜日※コロナの影響で他に休業ある可能性あり",純喫茶 (老派咖啡店),https://tabelog.com/nagano/A2002/A200201/20000622/,
